Total Time; ClientToModule Success; ClientToModule Error; ResilienceModuleToExternalService Success; ResilienceModuleToExternalService Error; Retry Count; Retry TotalTimeout; CircuitBreaker Count; CircuitBreaker ResetCount; CircuitBreaker TotalOfBreaker
19870; 10; 0; 10; 0; ; ; ; ; 
15588; 10; 0; 10; 0; ; ; ; ; 
20152; 10; 0; 10; 0; ; ; ; ; 
20015; 10; 0; 10; 0; ; ; ; ; 
3539; 10; 0; 10; 0; ; ; ; ; 
18070; 10; 0; 10; 0; ; ; ; ; 
19566; 10; 0; 10; 0; ; ; ; ; 
16085; 10; 0; 10; 0; ; ; ; ; 
18573; 10; 0; 10; 0; ; ; ; ; 
20325; 10; 0; 10; 0; ; ; ; ; 
17114; 10; 0; 10; 0; ; ; ; ; 
14684; 10; 0; 10; 0; ; ; ; ; 
13124; 10; 0; 10; 0; ; ; ; ; 
14130; 10; 0; 10; 0; ; ; ; ; 
12642; 10; 0; 10; 0; ; ; ; ; 
10648; 10; 0; 10; 0; ; ; ; ; 
11494; 10; 0; 10; 0; ; ; ; ; 
2676; 10; 0; 10; 0; ; ; ; ; 
4536; 10; 0; 10; 0; ; ; ; ; 
8647; 10; 0; 10; 0; ; ; ; ; 
11172; 10; 0; 10; 0; ; ; ; ; 
7682; 10; 0; 10; 0; ; ; ; ; 
9680; 10; 0; 10; 0; ; ; ; ; 
5594; 10; 0; 10; 0; ; ; ; ; 
6531; 10; 0; 10; 0; ; ; ; ; 
